Cust_ID,State,Account_length,Area_code,International_plan,Voice_mail_plan,Number_vmail_messages,Total_day_minutes,Total_day_calls,Total_day_charge,Total_eve_minutes,Total_eve_calls,Total_eve_charge,Total_night_minutes,Total_night_calls,Total_night_charge,Total_intl_minutes,Total_intl_calls,Total_intl_charge,Customer_service_calls,tariff_plan_conds,Offer_du_doan,XacSuat_Daytime plan,XacSuat_Enhanced Voicemail Plan,XacSuat_Evening call plan,XacSuat_International call plan,XacSuat_No Action
9001,OR,72,415,No,No,0,211.1,132,35.89,77.0,124,6.55,283.9,149,12.78,2.6,2,0.7,5,In-Advance and In-Arrear Charges: operator may charge customers in advance or at end of month for certain services.,Daytime plan,0.99600416,0.0032829947,0.00049951725,0.00015990893,5.3464595e-05
9002,NJ,130,415,No,No,0,216.7,107,36.84,191.7,138,16.29,128.6,108,5.79,7.2,11,1.94,3,Product Reactivation Charges: applied when a suspended service is reactivated by the customer.,International call plan,0.14469633,0.000742349,0.001980328,0.8525181,6.295852e-05
9003,TX,51,408,No,No,0,96.0,88,16.32,53.6,138,4.56,310.7,58,13.98,0.3,1,0.08,3,Charge Overriding Option: billing system allows overriding base prices at the time given to customer.,International call plan,0.18311727,0.13726221,0.18073547,0.4411847,0.0577004
9004,GA,35,510,No,Yes,22,155.6,99,26.45,228.9,51,19.46,164.8,103,7.42,9.8,5,2.65,4,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,Enhanced Voicemail Plan,0.015243723,0.47425655,0.022770273,0.47264355,0.015085883
9005,FL,14,408,No,No,0,298.9,121,50.81,204.0,111,17.34,137.8,129,6.2,13.5,14,3.65,4,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,International call plan,0.007877386,0.00066420686,6.112844e-05,0.99136907,2.8283208e-05
9006,MA,41,415,No,No,0,266.6,114,45.32,54.2,58,4.61,258.5,57,11.63,0.1,10,0.03,2,Product Usage Charges: charge based on usage of the service such as call per minute or data download per MB.,International call plan,0.3536363,0.0038901037,0.004644204,0.63761294,0.00021644533
9007,OH,41,408,No,No,0,279.5,61,47.52,139.3,97,11.84,150.1,111,6.75,5.9,2,1.59,3,Product Reactivation Charges: applied when a suspended service is reactivated by the customer.,Daytime plan,0.8946272,0.0010209375,0.054841075,0.018351402,0.031159395
9008,GA,206,408,No,No,0,255.4,139,43.42,113.7,63,9.66,183.3,58,8.25,12.8,9,3.46,1,Charge Overriding Option: billing system allows overriding base prices at the time given to customer.,Daytime plan,0.9909791,0.0017072947,0.0026585255,0.0038063407,0.0008488123
9009,AZ,52,415,Yes,Yes,21,187.3,143,31.84,87.6,64,7.45,254.0,85,11.43,17.0,6,4.59,2,Product Reactivation Charges: applied when a suspended service is reactivated by the customer.,Enhanced Voicemail Plan,0.115778595,0.37742543,0.038581487,0.32195172,0.14626272
9010,MA,62,415,No,No,0,78.5,77,13.35,267.0,93,22.7,162.5,111,7.31,9.7,9,2.62,6,Charge Overriding Option: billing system allows overriding base prices at the time given to customer.,Evening call plan,0.0074677486,0.0008254196,0.9890731,0.002180585,0.00045317624
9011,CA,121,408,No,No,0,165.3,126,28.1,282.4,119,24.0,187.9,58,8.46,8.7,0,2.35,2,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,Evening call plan,0.00043351296,0.0002099539,0.8375829,0.16173738,3.6238864e-05
9012,MN,180,415,No,No,0,67.5,107,11.48,309.9,88,26.34,184.3,105,8.29,0.7,0,0.19,1,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,Evening call plan,0.00020386164,0.0006639492,0.99514586,0.0039817696,4.4901362e-06
9013,CA,147,510,No,Yes,15,89.1,93,15.15,170.9,119,14.53,115.4,117,5.19,1.5,7,0.41,2,Product Usage Charges: charge based on usage of the service such as call per minute or data download per MB.,Enhanced Voicemail Plan,9.8745004e-05,0.9635177,0.0015821223,0.028106365,0.006695059
9014,CO,98,510,No,No,0,157.7,65,26.81,275.5,108,23.42,100.4,142,4.52,15.5,11,4.19,2,Charge Overriding Option: billing system allows overriding base prices at the time given to customer.,International call plan,7.0249815e-05,0.0060160616,0.008627293,0.98528427,2.0719247e-06
9015,IL,148,408,Yes,No,0,97.1,82,16.51,157.3,88,13.37,302.9,50,13.63,12.2,8,3.29,0,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,No Action,0.4550156,0.015829336,0.009053671,0.01594092,0.5041605
9016,TX,7,510,No,No,0,315.2,109,53.58,120.4,50,10.23,75.1,61,3.38,10.0,10,2.7,6,Product Usage Charges: charge based on usage of the service such as call per minute or data download per MB.,International call plan,0.026113749,0.0005131125,0.00020798067,0.9729303,0.00023482584
9017,MI,131,510,No,No,0,260.6,73,44.3,279.8,121,23.78,262.0,133,11.79,10.5,13,2.83,0,Product Reactivation Charges: applied when a suspended service is reactivated by the customer.,Daytime plan,0.9734066,0.00522322,0.002458211,0.018881157,3.0810414e-05
9018,NC,194,510,No,Yes,28,171.1,110,29.09,110.6,82,9.4,54.9,63,2.47,5.9,3,1.59,6,Product Reactivation Charges: applied when a suspended service is reactivated by the customer.,Enhanced Voicemail Plan,0.0140076615,0.7511125,0.12643659,0.029908534,0.078534715
9019,CT,187,408,No,No,0,221.8,71,37.71,115.9,87,9.85,314.3,100,14.14,16.1,10,4.35,2,Product Suspension Periodic Charges: charge applied periodically even if customer is suspended for some reason.,International call plan,0.00038708482,0.00022606555,5.3887026e-05,0.9989002,0.0004327742
9020,GA,192,415,No,No,0,102.7,110,17.46,184.8,53,15.71,56.6,98,2.55,0.8,11,0.22,3,In-Advance and In-Arrear Charges: operator may charge customers in advance or at end of month for certain services.,International call plan,0.019809857,0.0003943017,0.00013017871,0.979624,4.1775682e-05
